id,state,stop_date,stop_time,location_raw,county_name,county_fips,fine_grained_location,police_department,driver_gender,driver_age_raw,driver_age,driver_race_raw,driver_race,violation_raw,violation,search_conducted,search_type_raw,search_type,contraband_found,stop_outcome,is_arrested,ethnicity
CA-2013-0000061,CA,01/01/2013,,Westminster,Orange County,6059,,,M,15-25,,Hispanic,Hispanic,Mechanical or Nonmoving Violation (VC),Equipment,FALSE,No Search,,FALSE,CHP 215,FALSE,H
CA-2013-0000062,CA,01/01/2013,,Westminster,Orange County,6059,,,M,25-32,,Other Asian,Asian,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,A
CA-2013-0000063,CA,01/01/2013,,Redding,Shasta County,6089,,,M,49+,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000064,CA,01/01/2013,,Redding,Shasta County,6089,,,M,49+,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000065,CA,01/01/2013,,Redding,Shasta County,6089,,,F,15-25,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000066,CA,01/01/2013,,Redding,Shasta County,6089,,,M,40-48,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000067,CA,01/01/2013,,Redding,Shasta County,6089,,,M,40-48,,Japanese,Asian,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,J
CA-2013-0000068,CA,01/01/2013,,Redding,Shasta County,6089,,,F,33-39,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000069,CA,01/01/2013,,Redding,Shasta County,6089,,,F,33-39,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,H
CA-2013-0000070,CA,01/01/2013,,Redding,Shasta County,6089,,,M,40-48,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000071,CA,01/01/2013,,Redding,Shasta County,6089,,,M,40-48,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000072,CA,01/01/2013,,Redding,Shasta County,6089,,,M,33-39,,White,White,Mechanical or Nonmoving Violation (VC),Equipment,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000073,CA,01/01/2013,,Redding,Shasta County,6089,,,F,40-48,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000074,CA,01/01/2013,,Redding,Shasta County,6089,,,M,33-39,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000075,CA,01/01/2013,,Redding,Shasta County,6089,,,M,33-39,,Other Asian,Asian,Motorist/Public Service,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,A
CA-2013-0000076,CA,01/01/2013,,Redding,Shasta County,6089,,,F,40-48,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000077,CA,01/01/2013,,Redding,Shasta County,6089,,,M,40-48,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,H
